pdb_id,smiles,affinity,stability_score,energy
10gs,[NH3+][C@@H](CCC(=O)N[C@@H](CSCc1ccccc1)C(=O)N[C@@H](C(=O)[O-])c1ccccc1)C(=O)[O-],3.82,66.2,-59.89
1a30,CC(C)C[C@H](NC(=O)[C@H](CC(=O)[O-])NC(=O)[C@@H]([NH3+])CCC(=O)[O-])C(=O)[O-],6.49,52.7,-98.33
1bcu,Nc1ccc2cc3ccc(N)cc3nc2c1,6.91,63.4,-109.04
1e66,CCC1=C[C@@H]2Cc3nc4cc(Cl)ccc4c(N)c3[C@H](C1)C2,2.49,67.0,-38.14
1f8b,CC(=O)N[C@H]1[C@H]([C@H](O)[C@H](O)CO)OC(C(=O)[O-])=C[C@@H]1O,9.33,48.8,-140.79
1f8c,CC(=O)N[C@H]1[C@H]([C@H](O)[C@H](O)CO)OC(C(=O)[O-])=C[C@@H]1[NH3+],3.56,86.1,-59.78
1f8d,CC(=O)N[C@H]1[C@H]([C@H](O)[C@H](O)C[NH3+])OC(C(=O)[O-])=C[C@@H]1O,6.0,50.8,-89.86
1gpk,C/C=C1\[C@@H]2C=C(C)C[C@@]1([NH3+])c1ccc(=O)[nH]c1C2,2.55,78.7,-41.78
1h23,O=c1ccc2c([nH]1)CCC[C@@H]2[NH2+]CCCCCCCCCCCC[NH2+][C@H]1CCCc2[nH]c(=O)ccc21,3.4,92.3,-52.92
1hfs,CC(C)C[C@H](NC(=O)[C@H](CCc1ccc(-c2ccc(F)cc2)cc1)C[C@H](CCCCN1Cc2ccccc2C1=O)C(=O)[O-])C(=O)Nc1ccccc1,7.55,72.5,-112.71
1hnn,NS(=O)(=O)c1ccc2c(c1)C[NH2+]CC2,7.7,40.5,-119.77
1igj,C[C@H]1O[C@@H](O[C@H]2CC[C@@]3(C)[C@H](CC[C@@H]4[C@@H]3C[C@@H](O)[C@]3(C)[C@@H](C5=CC(=O)OC5)CC[C@]43O)C2)C[C@H](O)[C@@H]1O,9.52,61.5,-146.54
1jyq,C[C@@](Cc1ccc(OP(=O)([O-])[O-])cc1)(NC(=O)[C@H](Cc1ccc(OP(=O)([O-])[O-])cc1)NC(=O)OCc1cccc(N)c1)C(=O)N[C@@H](CC(N)=O)C(=O)[O-],3.76,89.6,-61.17
1kel,O=C([O-])CCCC[N@H+](Cc1ccc([N+](=O)[O-])cc1)CP(=O)([O-])[O-],7.07,71.3,-113.68
1lbk,[NH3+][C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)[O-])C(=O)[O-],9.22,53.9,-139.82
1lol,O=c1[nH]c(=O)c2ncn([C@@H]3O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]3O)c2[nH]1,5.12,64.3,-74.48
1loq,O=c1ccn([C@@H]2O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]2O)c(=O)[nH]1,4.88,98.1,-74.42
1lor,O=c1cc(O)n([C@@H]2O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]2O)c(=O)[nH]1,10.52,94.3,-161.88
1mq6,COc1cc(Cl)cc(C(=O)Nc2ccc(Cl)cn2)c1NC(=O)c1scc(CN(C)C2=NCCO2)c1Cl,5.86,72.6,-88.67
1n1m,CC(C)[C@H]([NH3+])C(=O)N1CCCC1,9.96,98.5,-153.81
1n2v,CCCCc1nc2c(=O)[nH][nH]c(=O)c2[nH]1,7.68,43.7,-122.34
1nvq,C[NH2+][C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)N[C@@H]4O,7.55,78.9,-113.69
1o3f,NC(=[NH2+])c1ccc2[nH]c(-c3cccc(-c4ccccc4)c3O)cc2c1,5.66,90.5,-88.11
1o5b,NC(=[NH2+])c1cc2c(I)cccc2s1,7.49,71.1,-112.84
1os0,[NH3+][C@@H](Cc1ccccc1)[P@@](=O)([O-])C[C@@H](Cc1ccccc1)C(=O)N[C@@H](Cc1ccccc1)C(=O)[O-],3.63,57.8,-54.84
1oyt,NC(=[NH2+])c1ccc([C@H]2[C@H]3C(=O)N(Cc4ccc(F)cc4)C(=O)[C@H]3[C@@H]3CCC[N@@H+]32)cc1,7.36,49.2,-114.75
1p1q,Cc1o[nH]c(=O)c1C[C@H]([NH3+])C(=O)[O-],4.02,76.6,-59.38
1ps3,O=C1N[C@@H]2[C@@H](O)[C@@H](O)[C@H](O)[C@@H](CO)N2C1=O,2.19,85.6,-29.44
1q8t,C[C@@H]([NH3+])[C@H]1CC[C@H](C(=O)Nc2ccncc2)CC1,5.75,55.3,-92.55
1q8u,Cc1cncc2cccc(S(=O)(=O)N3CCC[NH2+]C[C@@H]3C)c12,7.05,44.9,-108.74
1qi0,OC[C@H]1O[C@@H](O[C@H]2[C@H](O)[C@@H](O)[C@H](O)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@@H]1O,10.78,98.2,-167.22
1r5y,Nc1ccc2nc(N)[nH]c(=O)c2c1,3.83,54.6,-58.05
1sln,C[C@@H]([NH2+][C@@H](CCc1ccccc1)C(=O)N[C@@H](CCCNC(N)=[NH2+])C(=O)Nc1ccccc1)C(=O)[O-],9.86,53.6,-150.07
1sqa,NC(=[NH2+])c1ccc2cc(C(=O)Nc3ccc(C[NH3+])cc3)cc(Nc3ncccn3)c2c1,9.19,67.7,-144.33
1u1b,Cc1cn([C@H]2C[C@H](O[P@](=O)([O-])O[P@](=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3OP(=O)([O-])[O-])[C@@H](COP(=O)([O-])[O-])O2)c(=O)[nH]c1=O,3.47,86.4,-49.45
1u33,CO[C@H]1[C@H](O)[C@@H](O)[C@@H](O[C@H]2[C@H](O)[C@@H](O)[C@@H](O[C@H]3[C@H](O)[C@@H](O)/C(=N/O)N[C@@H]3CO)O[C@@H]2CO)O[C@@H]1CO,7.6,73.2,-122.17
1uto,[NH3+]CCc1ccccc1,10.93,72.1,-173.81
1vso,CC(C)(C)c1onc(OCP(=O)([O-])[O-])c1C[C@H]([NH3+])C(=O)[O-],6.05,73.2,-97.89
1w3k,OC[C@H]1O[C@@H](O[C@H]2[C@H](O)C[NH2+]O[C@@H]2CO)[C@H](O)[C@@H](O)[C@@H]1O,6.59,69.9,-104.62
1w3l,OC[C@H]1O[C@@H](O[C@H]2[C@H](O)[C@@H](O)[C@H](O[C@H]3[C@H](O)C[NH2+]O[C@@H]3CO)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@@H]1O,2.65,84.8,-45.72
1w4o,O=c1ccn([C@@H]2O[C@H](CO)[C@@H](OP(=O)([O-])[O-])[C@@H]2O)c(=O)[nH]1,10.77,74.7,-166.35
1xd0,C[C@H]1O[C@H](O[C@H]2[C@H](O)[C@@H](O)[C@@H](O)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@@H]1[NH2+][C@H]1C[C@H](CO)[C@@H](O[C@H]2O[C@H](CO)[C@@H](O[C@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O,7.31,83.9,-109.1
1yc1,CCc1cc(-c2n[nH]c(C(=O)[O-])c2-c2ccc3c(c2)OCO3)c(O)cc1O,8.92,93.6,-139.72
1z95,C[C@](O)(CS(=O)(=O)c1ccc(F)cc1)C(=O)Nc1ccc(C#N)c(C(F)(F)F)c1,7.64,73.0,-122.46
1zea,CC(C)[C@@H]([NH3+])C(=O)N1CCC[C@@H]1C(=O)NCC(=O)N[C@H](CO)C(=O)N[C@H](CCC(N)=O)C(=O)N[C@H](Cc1c[nH]cn1)C(=O)N[C@H](Cc1ccc(O)cc1)C(=O)N[C@H](CC(=O)[O-])C(=O)N[C@H](CO)C(=O)[O-],6.26,74.3,-100.23
2brb,OCCNc1ncnc2oc(-c3ccccc3)c(-c3ccccc3)c12,8.48,91.0,-132.5
